CMP	((:reg 7))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
ADD	((:reg 0))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
OR	((:reg 1))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
ADC	((:reg 2))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SBB	((:reg 3))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
AND	((:reg 4))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
SUB	((:reg 5))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
XOR	((:reg 6))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
CMP	((:reg 7))	x86-add/adc/sub/sbb/or/and/xor/cmp-test-e-i -- 
TEST	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
TEST	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
XCHG	x86-xchg
XCHG	x86-xchg
MOV	x86-mov-op/en-mr
MOV	x86-mov-op/en-mr
MOV	x86-mov-op/en-rm
MOV	x86-mov-op/en-rm
LEA	x86-lea
POP	((:reg 0))	x86-pop-ev
XCHG	x86-xchg
XCHG	x86-xchg
XCHG	x86-xchg
XCHG	x86-xchg
XCHG	x86-xchg
XCHG	x86-xchg
XCHG	x86-xchg
XCHG	x86-xchg
CBW/CWDE/CDQE	x86-cbw/cwd/cdqe
CWD/CDQ/CQO	x86-cwd/cdq/cqo
PUSHF/D/Q	x86-pushf
POPF/D/Q	x86-popf
SAHF	x86-sahf
LAHF	x86-lahf
MOV	x86-mov-op/en-fd
MOV	x86-mov-op/en-fd
MOVS/B	x86-movs
MOVS/W/D/Q	x86-movs
CMPS/B	x86-cmps
CMPS/W/D	x86-cmps
TEST	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
TEST	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
STOS/B	x86-stos
STOS/W/D/Q	x86-stos
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
MOV	x86-mov-op/en-oi
ROL	((:reg 0))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROR	((:reg 1))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCL	((:reg 2))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCR	((:reg 3))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHL/SAL	((:reg 4))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHR	((:reg 5))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SAR	((:reg 7))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROL	((:reg 0))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROR	((:reg 1))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCL	((:reg 2))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCR	((:reg 3))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHL/SAL	((:reg 4))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHR	((:reg 5))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SAR	((:reg 7))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RET	x86-ret
RET	x86-ret
MOV	((:reg 0))	x86-mov-op/en-mi
MOV	((:reg 0))	x86-mov-op/en-mi
LEAVE	x86-leave
ROL	((:reg 0))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROR	((:reg 1))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCL	((:reg 2))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCR	((:reg 3))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHL/SAL	((:reg 4))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SHR	((:reg 5))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
SAR	((:reg 7))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROL	((:reg 0))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
ROR	((:reg 1))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCL	((:reg 2))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
RCR	((:reg 3))	x86-sal/sar/shl/shr/rcl/rcr/rol/ror
